Project Name,Package Name,Type Name,Code Smell
monalisa-orm,com.tsc9526.monalisa.tools.agent,AgentArgs,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.tools.agent,AgentArgClassInfo,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.agent,AgentClass,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.tools.agent,AgentEnhancer,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.agent,AgentJar,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.tools.agent,AgentJavaFile,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.tools.agent,Interceptor,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.cache,CacheManager,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.tools.cache.decorators,FifoCache,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.cache.decorators,LruCache,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.cache.decorators,SoftCache,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.cache.decorators,AddEntry,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.cache.decorators,RemoveEntry,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.cache.decorators,WeakCache,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.cache.impl,PerpetualCache,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.clazz,CompilePackage,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.tools.clazz,Compiler,Deficient Encapsulation
monalisa-orm,com.tsc9526.monalisa.tools.clazz,Compiler,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.tools.clazz,StringFileObject,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.clazz,MelpAsm,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.tools.clazz,MelpClass,Deficient Encapsulation
monalisa-orm,com.tsc9526.monalisa.tools.clazz,MelpClass,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.tools.clazz,MelpClass,Insufficient Modularization
monalisa-orm,com.tsc9526.monalisa.tools.clazz,ClassHelper,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.tools.clazz,MelpClasspath,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.tools.clazz,_DefineClass,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.tools.clazz,MelpLib,Deficient Encapsulation
monalisa-orm,com.tsc9526.monalisa.tools.clazz,MelpLib,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.tools.clazz,Shallowable,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.clazz,Specifiable,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.clazz,StatementEnhancer,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.clazz,Interceptor,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.clazz,InterceptorFilter,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.converters,Conversion,Deficient Encapsulation
monalisa-orm,com.tsc9526.monalisa.tools.converters.impl,BigDecimalTypeConversion,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.converters.impl,BooleanTypeConversion,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.converters.impl,ByteTypeConversion,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.converters.impl,CharacterTypeConversion,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.converters.impl,DateTypeConversion,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.converters.impl,DateTypeConversion,Deficient Encapsulation
monalisa-orm,com.tsc9526.monalisa.tools.converters.impl,DoubleTypeConversion,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.converters.impl,EnumTypeConversion,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.converters.impl,FloatTypeConversion,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.converters.impl,IntegerTypeConversion,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.converters.impl,JsonObjectTypeConversion,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.converters.impl,LongTypeConversion,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.converters.impl,ObjectTypeConversion,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.converters.impl,SameTypeConversion,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.converters.impl,ShortTypeConversion,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.converters.impl,StringTypeConversion,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.csv,Csv,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.csv,DataTableConnection,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.csv,DataTableReader,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.csv,SimpleDataTableReader,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.csv,TableStatement,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.datatable,CsvOptions,Insufficient Modularization
monalisa-orm,com.tsc9526.monalisa.tools.datatable,DataMap,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.tools.datatable,DataMap,Insufficient Modularization
monalisa-orm,com.tsc9526.monalisa.tools.datatable,DataTable,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.tools.datatable,DataTable,Insufficient Modularization
monalisa-orm,com.tsc9526.monalisa.tools.datatable,Page,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.tools.io,Formatter,Unnecessary Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.io,Formatter,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.io,JavaFile,Deficient Encapsulation
monalisa-orm,com.tsc9526.monalisa.tools.io,JavaFile,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.tools.io,MelpFile,Deficient Encapsulation
monalisa-orm,com.tsc9526.monalisa.tools.io,MelpFile,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.tools.io,MelpFile,Insufficient Modularization
monalisa-orm,com.tsc9526.monalisa.tools.json,MelpJson,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.tools.json,MelpJson,Insufficient Modularization
monalisa-orm,com.tsc9526.monalisa.tools.logger,CommonsLoggerFactory,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.logger,CommonsLoggingLogger,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.logger,JDK14LoggerFactory,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.logger,JDK14Logger,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.logger,Log4jCfg,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.logger,Log4JLoggerFactory,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.logger,Log4JLogger,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.logger,Logger,Deficient Encapsulation
monalisa-orm,com.tsc9526.monalisa.tools.logger,Logger,Insufficient Modularization
monalisa-orm,com.tsc9526.monalisa.tools.logger,LoggerWrapper,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.logger,SLF4JLoggerFactory,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.logger,SLF4JLoggerFactory,Insufficient Modularization
monalisa-orm,com.tsc9526.monalisa.tools.logger,LocationAwareSLF4JLogger,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.logger,LocationUnawareSLF4JLogger,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.maven,JarLocation,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.tools.maven,Repository,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.tools.misc,MelpEclipse,Deficient Encapsulation
monalisa-orm,com.tsc9526.monalisa.tools.misc,MelpEclipse,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.tools.misc,ILocalStoreConstants,Deficient Encapsulation
monalisa-orm,com.tsc9526.monalisa.tools.misc,ILocalStoreConstants,Broken Modularization
monalisa-orm,com.tsc9526.monalisa.tools.misc,MelpException,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.tools.misc,MelpHttp,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.tools.misc,HttpsX509TrustManager,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.parser.impl,BeanParser,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.parser.impl,JsonObjectParser,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.parser.impl,MapParser,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.parser.impl,ServletRequestParser,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.tools.parser.impl,StringParser,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.parser.impl,XmlParser,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools,PkgNames,Deficient Encapsulation
monalisa-orm,com.tsc9526.monalisa.tools,PkgNames,Broken Modularization
monalisa-orm,com.tsc9526.monalisa.tools,Tasks,Deficient Encapsulation
monalisa-orm,com.tsc9526.monalisa.tools,Tools,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.tools.servlet,TrimHeadServletWrapper,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.servlet,HeadTrimWriter,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.string,MelpSQL,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.tools.string,MelpString,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.tools.string,MelpString,Insufficient Modularization
monalisa-orm,com.tsc9526.monalisa.tools.template,VarTemplate,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.tools.template.jsp,Jsp,Deficient Encapsulation
monalisa-orm,com.tsc9526.monalisa.tools.template.jsp,Jsp,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.tools.template.jsp,JspCode,Unutilized Abstraction
